ir_led1,ir_led2
-104492, -98083
-104354, -98126
-103693, -98162
-102865, -98194
-102365, -98196
-102147, -98201
-102185, -98207
-102323, -98230
-102435, -98260
-102488, -98294
-102594, -98337
-102794, -98374
-103075, -98399
-103420, -98419
-103838, -98459
-104226, -98487
-104573, -98444
-104808, -98327
-104944, -98243
-105101, -98213
-105185, -98209
-105246, -98233
-105152, -98270
-104777, -98284
-104369, -98303
-103998, -98309
-103863, -98318
-103939, -98354
-104084, -98364
-104170, -98404
-104223, -98435
-104227, -98454
-104239, -98476
-104255, -98503
-104302, -98537
-104352, -98564
-104411, -98522
-104456, -98405
-104495, -98308
-104561, -98274
-104616, -98270
-104663, -98284
-104545, -98325
-104174, -98352
-103649, -98348
-103341, -98352
-103240, -98370
-103320, -98400
-103485, -98400
-103612, -98415
-103664, -98460
-103661, -98468
-103686, -98469
-103735, -98499
-103810, -98526
-103880, -98513
-103980, -98418
-104059, -98310
-104133, -98262
-104195, -98243
-104266, -98264
-104325, -98295
-104289, -98327
-103964, -98322
-103432, -98316
-103007, -98315
-102904, -98329
-103003, -98351
-103176, -98375
-103319, -98398
-103348, -98425
-103380, -98442
-103385, -98467
-103404, -98492
-103485, -98454
-103567, -98321
-103680, -98254
-103790, -98214
-103879, -98210
-103962, -98247
-104062, -98276
-104141, -98291
-104051, -98294
-103645, -98303
-103145, -98320
-102821, -98330
-102807, -98357
-102908, -98378
-103115, -98403
-103231, -98433
-103251, -98459
-103274, -98489
-103301, -98465
-103348, -98357
-103389, -98252
-103465, -98214
-103548, -98209
-103652, -98221
-103744, -98266
-103834, -98294
-103619, -98282
-103113, -98287
-102655, -98306
-102525, -98308
-102612, -98318
-102783, -98360
-102952, -98382
-103022, -98411
-103041, -98421
-103051, -98454
-103088, -98429
-103153, -98335
-103256, -98235
-103341, -98180
-103425, -98173
-103510, -98193
-103590, -98222
-103653, -98235
-103585, -98233
-103191, -98239
-102637, -98233
-102332, -98238
-102349, -98259
-102517, -98267
-102674, -98283
-102831, -98306
-102893, -98333
-102893, -98319
-102921, -98261
-102979, -98136
-103074, -98084
-103159, -98075
-103259, -98099
-103339, -98119
-103435, -98140
-103502, -98147
-103507, -98144
-103198, -98143
-102662, -98163
-102306, -98170
-102277, -98182
-102395, -98209
-102584, -98214
-102755, -98247
-102836, -98240
-102836, -98176
-102839, -98083
-102883, -98032
-102988, -98004
-103090, -98013
-103162, -98050
-103258, -98084
-103345, -98080
-103402, -98077
-103276, -98099
-102797, -98096
-102335, -98127
-102178, -98158
-102283, -98171
-102444, -98200
-102643, -98232
-102725, -98256
-102744, -98227
-102731, -98131
-102764, -98044
-102828, -97998
-102909, -97985
-102979, -98016
-103050, -98042
-103143, -98059
-103229, -98070
-103173, -98080
-102724, -98096
-102188, -98111
-102000, -98138
-102063, -98164
-102190, -98200
-102395, -98238
-102527, -98240
-102553, -98278
-102572, -98318
-102601, -98280
-102690, -98212
-102772, -98112
-102869, -98059
-102964, -98032
-103051, -98040
-103138, -98089
-103185, -98120
-102963, -98126
-102375, -98134
-101951, -98143
-101871, -98154
-101958, -98185
-102104, -98208
-102310, -98239
-102402, -98274
-102421, -98296
-102437, -98316
-102484, -98330
-102579, -98365
-102691, -98383
-102774, -98338
-102934, -98236
-103019, -98158
-103112, -98137
-103187, -98122
-103108, -98145
-102644, -98189
-102075, -98204
-101864, -98206
-101913, -98218
-102034, -98230
-102221, -98242
-102375, -98281
-102442, -98293
-102435, -98329
-102474, -98343
-102560, -98374
-102657, -98400
-102759, -98428
-102846, -98368
-102941, -98267
-103007, -98203
-103061, -98164
-103119, -98163
-103228, -98186
-103251, -98230
-103082, -98269
-102508, -98267
-102008, -98258
-101890, -98294
-101966, -98306
-102127, -98323
-102330, -98356
-102443, -98379
-102470, -98411
-102465, -98429
-102498, -98456
-102595, -98487
-102683, -98502
-102779, -98465
-102871, -98366
-102934, -98271
-103003, -98234
-103078, -98220
-103137, -98231
-103068, -98275
-102610, -98311
-102051, -98322
-101841, -98319
-101888, -98351
-102051, -98346
-102233, -98382
-102389, -98397
-102444, -98419
-102448, -98440
-102461, -98470
-102540, -98478
-102639, -98500
-102730, -98533
-102821, -98521
-102904, -98426
-102965, -98324
-103031, -98281
-103096, -98258
-103175, -98280
-103191, -98314
-102841, -98347
-102216, -98355
-101849, -98367
-101823, -98375
-101929, -98404
-102104, -98424
-102286, -98444
-102389, -98466
-102383, -98489
-102382, -98521
-102476, -98535
-102557, -98560
-102646, -98574
-102761, -98482
-102826, -98368
-102903, -98337
-102972, -98299
-103040, -98310
-103102, -98358
-103159, -98384
-103022, -98382
-102472, -98387
-101960, -98400
-101835, -98409
-101919, -98432
-102068, -98458
-102271, -98484
-102404, -98520
-102446, -98555
-102459, -98585
-102502, -98629
-102598, -98641
-102695, -98663
-102812, -98684
-102885, -98670
-102975, -98559
-103075, -98455
-103148, -98400
-103244, -98404
-102870, -98408
-102313, -98455
-102027, -98483
-102050, -98454
-102186, -98452
-102369, -98464
-102538, -98472
-102636, -98484
-102650, -98501
-102668, -98528
-102760, -98547
-102854, -98569
-102972, -98587
